id,passage
18081-0,"[Dolores Umbridges Zauberstab] Der Zauberstab von Dolores Umbridge war 8 Zoll lang, hergestellt aus Birken-Holz mit Drachenherzfaser-Kern. Die Zauberstablänge wird als ""unüblich kurz"" bezeichnet von dem Zauberstabmacher Garrick Ollivander, was darauf hinweist, dass es Mängel in der Persönlichkeit des Besitzers gibt. Umbridge war fähig mit ihrem Zauberstab mächtige Magie zu erzeugen. Es könnte möglich sein, das das purpurfarbene Juwel in der Mitte des Zauberstabs magische Kräfte besitzt, die die Zauberkraft des Zauberstabs verstärken."
18081-1,"[Dolores Umbridges Zauberstab] [Geschichte] Dieser Zauberstab wurde zerstört während des Gefechts im Verbotenen Wald, als es 1996 sauber in zwei Hälften zerbrochen wurde durch den Huf eines Zentauren, als Umbridge von der Herde, die sie beleidigt hatte, fortgebracht wurde."
18081-2,"[Dolores Umbridges Zauberstab] [Geschichte] Vor seiner Zerstörung benutzte Umbridge den Zauberstab, um einen Schildzauber gegen einen Zentauren abzufeuern, der einen Pfeil auf sie abschoss, und einen Incarcerus-Zauber, um Magorian zu strangulierern während des Gefechts."
18081-3,"[Dolores Umbridges Zauberstab] [Geschichte] Harry versuchte, ihn zu erreichen, kurz nachdem sie ihn fallen gelassen hatte, aber er wurde zerstört, bevor er ihn erreichen konnte."
18081-4,"[Dolores Umbridges Zauberstab] [Geschichte] Umbridge erwarb später einen neuen Zauberstab und es war dieser Zauberstab, mit dem sie ihren Katzenpatronus erzeugte, um die Dementoren abzuwehren, als sie Muggelstämmige anklagte, als sie die Leiterin der Registrierungskommission für Muggelstämmige war. [Geschichte] Allerdings wurde dieser Zauberstab sehr wahrscheinlich konfisziert, als sie nach Askaban geschickt wurde."
18085-0,"[Ronald Weasleys erster Zauberstab] Der erste Zauberstab von Ronald Weasley war 12"" lang und aus Esche mit einem Kern aus Einhornhaar, das am Ende aus dem Zauberstab ragte. Er gehörte ursprünglich seinem älteren Bruder Charlie."
18085-1,"[Ronald Weasleys erster Zauberstab] Dieser Zauberstab wurde im September 1992 in zwei Hälften zerbrochen bei einem Zusammenstoß mit der Peitschenden Weide während Rons zweitem Jahr in Hogwarts, er hielt nur soeben zusammen an einer Holzfaser. Ronald versuchte, ihn mit Zauberband zusammenzuhalten, aber seine magischen Fähigkeiten waren irreparabel beschädigt. Daraufhin bekam er Fehlfunktionen; Ron weigerte sich, seine Eltern zu bitten, einen neuen zu kaufen, da er fürchtete, dass er dann einen weiteren Heuler von seiner Mutter erhalten würde für seine Verantwortungslosigkeit."
18085-2,"[Ronald Weasleys erster Zauberstab] Als Ron versuchte, Draco Malfoy zu verfluchen dafür, dass er Hermine Granger ein ""dreckiges kleines Schlammblut"", schlug der Zauberspruch zurück und ließ ihn Schnecken spucken. Als er im Unterricht versuchte, Käfer in Knöpfe zu verwandeln, entstand stattdessen Rauch, der nach verfaulten Eiern roch. In Zauberkunst schoß der Zauberstab aus Rons Hand und traf Professor Flitwick an der Stirn und verursachte eine grüne Beule. Während des ersten Treffens des Duellierclubs hatte der Zauberstab erneut Fehlfunktionen und verletzte Seamus Finnigan."
18085-3,"[Ronald Weasleys erster Zauberstab] Trotz der negativen Effekte des Zauberstab, die er das ganze Jahr gegen seinen Besitzer hatte, die eine positive Wirkung geschah zum Ende des Schuljahres. Als Gilderoy Lockhart ihn stahl, versuchte er in der Kammer des Schreckens, Rons und Harry Potters Erinnerungen auszulöschen, aber der Zauber schlug zurück und verursachte bei Lockhart einen permanenten und drastischen Gedächtnisverlust und rettete damit Harry und Ron. Rons Vater Arthur Weasley kaufte anschließend einen neuen Zauberstab für ihn, nachdem er eine große Summe Galleonen bei einem Gewinnspiel gewonnen hatte."
18105-0,"[A. Webb Servicing Ltd.] A. Webb Servicing Ltd. war ein Zaubererunternehmen, das Zauberstab-Wartungsdienstleistungen wie Reparaturen und Wiederherstellung anboten. Gegründet 1728 war seine Adresse Ephraim Lane, H. Heath. Dieses Unternehmen wurde vom Zauberstabministerium befürwortet."
18106-0,"[Althedas Zauberstab] Dies ist ein fiktionaler Zauberstab, der einer Hexe namens Altheda aus dem Zaubermärchen ""Der Brunnen des wahren Glücks"", geschrieben vom Zaubermärchenautor Beedle dem Barden. Materialien und Länge des Zauberstabs sind nicht bekannt. Er wurde gestohlen von einem bösen Zauberer zusammen mit Althedas Haus und Geld."
18120-0,"[Buchenholz und Drachenherzfaser-Zauberstab] Dieser Zauberstab wurde hergestellt aus Buchenholz mit einem Kern aus der Herzfaser eines Drachens und ist neun Zoll lang. Er wurde beschrieben als ""handlich und biegsam"". Es war der erste Zauberstab, der von Harry Potter benutzt wurde in Ollivanders Zauerstabladen, Winkelgasse, London im Jahr 1991. Harry war nur einmal in der Lage, den Zauberstab zu schwingen, bevor Ollivander ihn als unpassend für ihn bezeichnete."
18121-0,"[Katie Bells Zauberstab] Der Zauberstab von Katie Bell war von unbekannter Länge, Holz- und Kernmaterialien. Er wurde von ihr erworben vor ihrem ersten Jahr an der Hogwartsschule für Hexerei und Zauberei im Jahr 1990."
18124-0,"[Ebenholz und Einhornhaar-Zauberstab] Dieser Zauberstab wurde hergestellt aus dem Zauberstabholz des Ebenholzbaumes mit einem Kern aus Einhornhaar und ist acht und einhalb Zoll lang. Er wurde als federnd beschrieben. Er war der dritte Zauberstab, den Harry Potter in Ollivanders Zauberstabladen, Winkelgasse, London im Jahr 1991 probierte. Ollivander bezeichnete den Zauberstab als ungeeignet für Harry."
18126-0,"[Einhornhaar] Einhornhaar war eine magische Substanz mit einer Vielzahl von Anwendungen vom Körper eines Einhorns, das aber häufig verloren wird."
18130-0,[Schlangenholz und Koralle-Zauberstab] Dieser Zauberstab wurde hergestellt aus Schlangenholz mit einem Korallenkern und wurde verkauft von Mykew Gregorowitsch in seinem Zauberstabladen irgendwo in Deutschland. Er war einer der am frühesten verkauften.
