query-id	corpus-id	score
genQ0	42669-0	1
genQ1	42669-1	1
genQ2	42671-0	1
genQ3	42671-1	1
genQ4	42671-2	1
genQ5	42671-3	1
genQ6	42671-4	1
genQ7	42671-5	1
genQ8	42672-0	1
genQ9	42672-1	1
genQ10	42672-2	1
genQ11	42673-0	1
genQ12	42673-1	1
genQ13	42673-2	1
genQ14	42673-3	1
genQ15	42673-4	1
genQ16	42675-0	1
genQ17	42675-1	1
genQ18	42675-2	1
genQ19	42675-3	1
genQ20	42683-0	1
genQ21	42683-1	1
genQ22	42685-0	1
genQ23	42685-1	1
genQ24	42685-2	1
genQ25	42685-3	1
genQ26	42685-4	1
genQ27	42685-5	1
genQ28	42690-0	1
genQ29	42690-1	1
genQ30	42690-2	1
genQ31	42690-3	1
genQ32	42690-4	1
genQ33	42690-5	1
genQ34	42692-0	1
genQ35	42692-1	1
genQ36	42692-2	1
genQ37	42694-0	1
genQ38	42694-1	1
genQ39	42694-2	1
genQ40	42695-0	1
genQ41	42695-1	1
genQ42	42695-2	1
genQ43	42709-0	1
genQ44	42709-1	1
genQ45	42709-2	1
genQ46	42709-3	1
genQ47	42709-4	1
genQ48	42711-0	1
genQ49	42711-1	1
genQ50	42711-2	1
genQ51	42711-3	1
genQ52	42712-0	1
genQ53	42712-1	1
genQ54	42712-2	1
genQ55	42713-0	1
genQ56	42713-1	1
genQ57	42713-2	1
genQ58	42713-3	1
genQ59	42713-4	1
genQ60	42717-0	1
genQ61	42717-1	1
genQ62	42717-2	1
genQ63	42717-3	1
genQ64	42717-4	1
genQ65	42717-5	1
genQ66	42717-6	1
genQ67	42717-7	1
genQ68	42717-8	1
genQ69	42717-9	1
genQ70	42717-10	1
genQ71	42717-11	1
genQ72	42717-12	1
genQ73	42717-13	1
genQ74	42717-14	1
genQ75	42717-15	1
genQ76	42717-16	1
genQ77	42721-0	1
genQ78	42721-1	1
genQ79	42721-2	1
genQ80	42723-0	1
genQ81	42723-1	1
genQ82	42723-2	1
genQ83	42723-3	1
genQ84	42724-0	1
genQ85	42724-1	1
genQ86	42724-2	1
genQ87	42724-3	1
genQ88	42724-4	1
genQ89	42725-0	1
genQ90	42725-1	1
genQ91	42725-2	1
genQ92	42725-3	1
genQ93	42725-4	1
genQ94	42729-0	1
genQ95	42729-1	1
genQ96	42732-0	1
genQ97	42732-1	1
genQ98	42732-2	1
genQ99	42732-3	1
genQ100	42732-4	1
genQ101	42732-5	1
genQ102	42732-6	1
genQ103	42735-0	1
genQ104	42735-1	1
genQ105	42735-2	1
genQ106	42736-0	1
genQ107	42736-1	1
genQ108	42736-2	1
genQ109	42738-0	1
genQ110	42738-1	1
genQ111	42738-2	1
genQ112	42740-0	1
genQ113	42740-1	1
genQ114	42740-2	1
genQ115	42740-3	1
genQ116	42740-4	1
genQ117	42740-5	1
genQ118	42740-6	1
genQ119	42740-7	1
genQ120	42740-8	1
genQ121	42743-0	1
genQ122	42743-1	1
genQ123	42743-2	1
genQ124	42743-3	1
genQ125	42743-4	1
genQ126	42743-5	1
genQ127	42745-0	1
genQ128	42745-1	1
genQ129	42745-2	1
genQ130	42745-3	1
genQ131	42746-0	1
genQ132	42746-1	1
genQ133	42746-2	1
genQ134	42746-3	1
genQ135	42746-4	1
genQ136	42746-5	1
genQ137	42748-0	1
genQ138	42748-1	1
genQ139	42748-2	1
genQ140	42748-3	1
genQ141	42749-0	1
genQ142	42749-1	1
genQ143	42749-2	1
genQ144	42749-3	1
genQ145	42749-4	1
genQ146	42749-5	1
genQ147	42749-6	1
genQ148	42751-0	1
genQ149	42751-1	1
genQ150	42751-2	1
genQ151	42751-3	1
genQ152	42751-4	1
genQ153	42751-5	1
genQ154	42752-0	1
genQ155	42752-1	1
genQ156	42752-2	1
genQ157	42752-3	1
genQ158	42756-0	1
genQ159	42756-1	1
genQ160	42758-0	1
genQ161	42758-1	1
genQ162	42758-2	1
genQ163	42758-3	1
genQ164	42760-0	1
genQ165	42760-1	1
genQ166	42760-2	1
genQ167	42762-0	1
genQ168	42762-1	1
genQ169	42762-2	1
genQ170	42762-3	1
genQ171	42765-0	1
genQ172	42765-1	1
genQ173	42765-2	1
genQ174	42765-3	1
genQ175	42767-0	1
genQ176	42767-1	1
genQ177	42767-2	1
genQ178	42772-0	1
genQ179	42772-1	1
genQ180	42773-0	1
genQ181	42773-1	1
genQ182	42773-2	1
genQ183	42773-3	1
genQ184	42773-4	1
genQ185	42773-5	1
genQ186	42774-0	1
genQ187	42774-1	1
genQ188	42774-2	1
genQ189	42774-3	1
genQ190	42774-4	1
genQ191	42774-5	1
genQ192	42774-6	1
genQ193	42774-7	1
genQ194	42774-8	1
genQ195	42774-9	1
genQ196	42778-0	1
genQ197	42778-1	1
genQ198	42778-2	1
genQ199	42778-3	1
genQ200	42778-4	1
genQ201	42778-5	1
genQ202	42781-0	1
genQ203	42781-1	1
genQ204	42781-2	1
genQ205	42781-3	1
genQ206	42781-4	1
genQ207	42781-5	1
genQ208	42781-6	1
genQ209	42781-7	1
genQ210	42781-8	1
genQ211	42781-9	1
genQ212	42782-0	1
genQ213	42783-0	1
genQ214	42784-0	1
genQ215	42785-0	1
genQ216	42786-0	1
genQ217	42787-0	1
genQ218	42788-0	1
genQ219	42789-0	1
genQ220	42790-0	1
genQ221	42792-0	1
genQ222	42792-1	1
genQ223	42792-2	1
genQ224	42792-3	1
genQ225	42792-4	1
genQ226	42792-5	1
genQ227	42792-6	1
genQ228	42792-7	1
genQ229	42792-8	1
genQ230	42792-9	1
genQ231	42792-10	1
genQ232	42792-11	1
genQ233	42792-12	1
genQ234	42792-13	1
genQ235	42792-14	1
genQ236	42792-15	1
genQ237	42793-0	1
genQ238	42795-0	1
genQ239	42795-1	1
genQ240	42795-2	1
genQ241	42795-3	1
genQ242	42795-4	1
genQ243	42795-5	1
genQ244	42797-0	1
genQ245	42797-1	1
genQ246	42797-2	1
genQ247	42798-0	1
genQ248	42798-1	1
genQ249	42798-2	1
genQ250	42799-0	1
genQ251	42799-1	1
genQ252	42799-2	1
genQ253	42799-3	1
genQ254	42800-0	1
genQ255	42800-1	1
genQ256	42801-0	1
genQ257	42801-1	1
genQ258	42801-2	1
genQ259	42801-3	1
genQ260	42801-4	1
genQ261	42801-5	1
genQ262	42803-0	1
genQ263	42803-1	1
genQ264	42803-2	1
genQ265	42803-3	1
genQ266	42803-4	1
genQ267	42803-5	1
genQ268	42803-6	1
genQ269	42803-7	1
genQ270	42803-8	1
genQ271	42803-9	1
genQ272	42803-10	1
genQ273	42803-11	1
genQ274	42803-12	1
genQ275	42803-13	1
genQ276	42803-14	1
genQ277	42803-15	1
genQ278	42803-16	1
genQ279	42803-17	1
genQ280	42803-18	1
genQ281	42803-19	1
genQ282	42803-20	1
genQ283	42807-0	1
genQ284	42807-1	1
genQ285	42807-2	1
genQ286	42814-0	1
genQ287	42814-1	1
genQ288	42814-2	1
genQ289	42814-3	1
genQ290	42814-4	1
genQ291	42814-5	1
genQ292	42814-6	1
genQ293	42814-7	1
genQ294	42814-8	1
genQ295	42814-9	1
genQ296	42814-10	1
genQ297	42814-11	1
genQ298	42814-12	1
genQ299	42816-0	1
genQ300	42816-1	1
genQ301	42816-2	1
genQ302	42816-3	1
genQ303	42816-4	1
genQ304	42816-5	1
genQ305	42816-6	1
genQ306	42816-7	1
genQ307	42816-8	1
genQ308	42818-0	1
genQ309	42818-1	1
genQ310	42818-2	1
genQ311	42818-3	1
genQ312	42818-4	1
genQ313	42820-0	1
genQ314	42820-1	1
genQ315	42820-2	1
genQ316	42820-3	1
genQ317	42820-4	1
genQ318	42820-5	1
genQ319	42820-6	1
genQ320	42820-7	1
genQ321	42820-8	1
genQ322	42820-9	1
genQ323	42820-10	1
genQ324	42823-0	1
genQ325	42823-1	1
genQ326	42823-2	1
genQ327	42823-3	1
genQ328	42823-4	1
genQ329	42823-5	1
genQ330	42823-6	1
genQ331	42823-7	1
genQ332	42823-8	1
genQ333	42825-0	1
genQ334	42825-1	1
genQ335	42825-2	1
genQ336	42825-3	1
genQ337	42825-4	1
genQ338	42825-5	1
genQ339	42825-6	1
genQ340	42827-0	1
genQ341	42827-1	1
genQ342	42827-2	1
genQ343	42827-3	1
genQ344	42827-4	1
genQ345	42827-5	1
genQ346	42827-6	1
genQ347	42827-7	1
genQ348	42827-8	1
genQ349	42827-9	1
genQ350	42827-10	1
genQ351	42827-11	1
genQ352	42827-12	1
genQ353	42827-13	1
genQ354	42827-14	1
genQ355	42827-15	1
genQ356	42839-0	1
genQ357	42839-1	1
genQ358	42839-2	1
genQ359	42839-3	1
genQ360	42839-4	1
genQ361	42839-5	1
genQ362	42839-6	1
genQ363	42839-7	1
genQ364	42839-8	1
genQ365	42839-9	1
genQ366	42839-10	1
genQ367	42839-11	1
genQ368	42839-12	1
genQ369	42839-13	1
genQ370	42839-14	1
genQ371	42839-15	1
genQ372	42839-16	1
genQ373	42839-17	1
genQ374	42839-18	1
genQ375	42839-19	1
genQ376	42839-20	1
genQ377	42839-21	1
genQ378	42839-22	1
genQ379	42839-23	1
genQ380	42839-24	1
genQ381	42839-25	1
genQ382	42839-26	1
genQ383	42839-27	1
genQ384	42839-28	1
genQ385	42839-29	1
genQ386	42839-30	1
genQ387	42850-0	1
genQ388	42850-1	1
genQ389	42850-2	1
genQ390	42852-0	1
genQ391	42852-1	1
genQ392	42852-2	1
genQ393	42855-0	1
genQ394	42855-1	1
genQ395	42858-0	1
genQ396	42858-1	1
genQ397	42858-2	1
genQ398	42858-3	1
genQ399	42858-4	1
genQ400	42858-5	1
genQ401	42858-6	1
genQ402	42858-7	1
genQ403	42858-8	1
genQ404	42858-9	1
genQ405	42859-0	1
genQ406	42859-1	1
genQ407	42859-2	1
genQ408	42859-3	1
genQ409	42859-4	1
genQ410	42859-5	1
genQ411	42859-6	1
genQ412	42859-7	1
genQ413	42860-0	1
genQ414	42860-1	1
genQ415	42860-2	1
genQ416	42860-3	1
genQ417	42860-4	1
genQ418	42860-5	1
genQ419	42860-6	1
genQ420	42860-7	1
genQ421	42860-8	1
genQ422	42860-9	1
genQ423	42860-10	1
genQ424	42860-11	1
genQ425	42860-12	1
genQ426	42860-13	1
genQ427	42860-14	1
genQ428	42860-15	1
genQ429	42866-0	1
genQ430	42866-1	1
genQ431	42871-0	1
genQ432	42871-1	1
genQ433	42871-2	1
genQ434	42871-3	1
genQ435	42871-4	1
genQ436	42871-5	1
genQ437	42871-6	1
genQ438	42873-0	1
genQ439	42873-1	1
genQ440	42873-2	1
genQ441	42873-3	1
genQ442	42876-0	1
genQ443	42876-1	1
genQ444	42878-0	1
genQ445	42878-1	1
genQ446	42878-2	1
genQ447	42878-3	1
genQ448	42878-4	1
genQ449	42883-0	1
genQ450	42883-1	1
genQ451	42883-2	1
genQ452	42884-0	1
genQ453	42886-0	1
genQ454	42886-1	1
genQ455	42886-2	1
genQ456	42888-0	1
genQ457	42888-1	1
genQ458	42888-2	1
genQ459	42888-3	1
genQ460	42888-4	1
genQ461	42888-5	1
genQ462	42888-6	1
genQ463	42888-7	1
genQ464	42888-8	1
genQ465	42889-0	1
genQ466	42889-1	1
genQ467	42889-2	1
genQ468	42889-3	1
genQ469	42894-0	1
genQ470	42894-1	1
genQ471	42894-2	1
genQ472	42894-3	1
genQ473	42895-0	1
genQ474	42895-1	1
genQ475	42895-2	1
genQ476	42895-3	1
genQ477	42895-4	1
genQ478	42895-5	1
genQ479	42895-6	1
genQ480	42895-7	1
genQ481	42896-0	1
genQ482	42896-1	1
genQ483	42896-2	1
genQ484	42896-3	1
genQ485	42896-4	1
genQ486	42898-0	1
genQ487	42898-1	1
genQ488	42898-2	1
genQ489	42899-0	1
genQ490	42899-1	1
genQ491	42901-0	1
genQ492	42902-0	1
genQ493	42902-1	1
genQ494	42902-2	1
genQ495	42903-0	1
genQ496	42903-1	1
genQ497	42903-2	1
genQ498	42903-3	1
genQ499	42905-0	1
genQ500	42905-1	1
genQ501	42905-2	1
genQ502	42907-0	1
genQ503	42907-1	1
genQ504	42907-2	1
genQ505	42909-0	1
genQ506	42909-1	1
genQ507	42909-2	1
genQ508	42909-3	1
genQ509	42909-4	1
genQ510	42909-5	1
genQ511	42909-6	1
genQ512	42909-7	1
genQ513	42909-8	1
genQ514	42909-9	1
genQ515	42909-10	1
genQ516	42916-0	1
genQ517	42916-1	1
genQ518	42916-2	1
genQ519	42918-0	1
genQ520	42918-1	1
genQ521	42918-2	1
genQ522	42919-0	1
genQ523	42919-1	1
genQ524	42921-0	1
genQ525	42921-1	1
genQ526	42921-2	1
genQ527	42921-3	1
genQ528	42921-4	1
genQ529	42921-5	1
genQ530	42921-6	1
genQ531	42923-0	1
genQ532	42923-1	1
genQ533	42923-2	1
genQ534	42923-3	1
genQ535	42923-4	1
genQ536	42923-5	1
genQ537	42923-6	1
genQ538	42925-0	1
genQ539	42925-1	1
genQ540	42925-2	1
genQ541	42925-3	1
genQ542	42925-4	1
genQ543	42927-0	1
genQ544	42927-1	1
genQ545	42927-2	1
genQ546	42927-3	1
genQ547	42928-0	1
genQ548	42928-1	1
genQ549	42928-2	1
genQ550	42929-0	1
genQ551	42929-1	1
genQ552	42929-2	1
genQ553	42932-0	1
genQ554	42932-1	1
genQ555	42932-2	1
genQ556	42932-3	1
genQ557	42932-4	1
genQ558	42932-5	1
genQ559	42932-6	1
genQ560	42932-7	1
genQ561	42932-8	1
genQ562	42932-9	1
