query-id	corpus-id	score
genQ1	1	1
genQ2	1	1
genQ3	1	1
genQ4	1	1
genQ5	1	1
genQ6	2	1
genQ7	2	1
genQ8	2	1
genQ9	2	1
genQ10	2	1
genQ11	3	1
genQ12	3	1
genQ13	3	1
genQ14	3	1
genQ15	31	1
genQ16	31	1
genQ17	31	1
genQ18	31	1
genQ19	31	1
genQ20	32	1
genQ21	32	1
genQ22	32	1
genQ23	32	1
genQ24	32	1
genQ25	4	1
genQ26	4	1
genQ27	4	1
genQ28	4	1
genQ29	4	1
genQ30	5	1
genQ31	5	1
genQ32	5	1
genQ33	5	1
genQ34	5	1
genQ35	6	1
genQ36	6	1
genQ37	6	1
genQ38	6	1
genQ39	6	1
genQ40	7	1
genQ41	7	1
genQ42	7	1
genQ43	7	1
genQ44	8	1
genQ45	8	1
genQ46	8	1
genQ47	8	1
genQ48	8	1
