query-id	corpus-id	score
genQ33726	4368-0	1
genQ33727	4413-3	1
genQ33728	4420-1	1
genQ33729	4423-1	1
genQ33730	4479-0	1
genQ33731	4615-1	1
genQ33732	4627-1	1
genQ33733	4649-0	1
genQ33734	4650-1	1
genQ33735	4651-0	1
genQ33736	4654-0	1
genQ33737	4673-1	1
genQ33738	4679-0	1
genQ33739	4693-0	1
genQ33740	4763-0	1
genQ33741	7315-1	1
genQ33742	7407-1	1
genQ33743	13942-0	1
genQ33744	1331-0	1
genQ33745	1402-0	1
genQ33746	1410-0	1
genQ33747	1412-0	1
genQ33748	1448-0	1
genQ33749	1468-0	1
genQ33750	1494-0	1
genQ33751	1578-0	1
genQ33752	1579-1	1
genQ33753	1582-0	1
genQ33754	1614-0	1
genQ33755	1616-0	1
genQ33756	1629-0	1
genQ33757	1647-0	1
genQ33758	1667-1	1
genQ33759	1921-3	1
genQ33760	2211-0	1
genQ33761	2215-0	1
genQ33762	2217-0	1
genQ33763	2221-0	1
genQ33764	2224-0	1
genQ33765	2238-1	1
genQ33766	2243-0	1
genQ33767	2326-0	1
genQ33768	2575-0	1
genQ33769	2668-0	1
genQ33770	2919-1	1
genQ33771	4132-1	1
genQ33772	4178-0	1
genQ33773	40921-0	1
genQ33774	32-0	1
genQ33775	46-0	1
genQ33776	48-1	1
genQ33777	50-0	1
genQ33778	53-0	1
genQ33779	119-0	1
genQ33780	186-0	1
genQ33781	205-0	1
genQ33782	222-0	1
genQ33783	226-2	1
genQ33784	232-0	1
genQ33785	234-0	1
genQ33786	243-0	1
genQ33787	245-0	1
genQ33788	251-0	1
genQ33789	257-0	1
genQ33790	259-0	1
genQ33791	264-0	1
genQ33792	270-0	1
genQ33793	272-0	1
genQ33794	284-2	1
genQ33795	288-0	1
genQ33796	325-0	1
genQ33797	406-1	1
genQ33798	443-2	1
genQ33799	503-0	1
genQ33800	512-0	1
genQ33801	537-1	1
genQ33802	585-1	1
genQ33803	636-0	1
genQ33804	638-0	1
genQ33805	639-1	1
genQ33806	640-0	1
genQ33807	685-0	1
genQ33808	715-1	1
genQ33809	716-1	1
genQ33810	718-0	1
genQ33811	724-0	1
genQ33812	728-0	1
genQ33813	736-0	1
genQ33814	818-0	1
genQ33815	897-0	1
genQ33816	899-0	1
genQ33817	900-1	1
genQ33818	902-1	1
genQ33819	925-0	1
genQ33820	982-2	1
genQ33821	991-1	1
genQ33822	992-0	1
genQ33823	1163-0	1
genQ33824	1225-2	1
genQ33825	1246-1	1
genQ33826	1325-0	1
