query-id	corpus-id	score
genQ1	0	1
genQ2	1	1
genQ3	2	1
genQ4	3	1
genQ5	4	1
genQ6	5	1
genQ7	6	1
genQ8	7	1
genQ9	8	1
genQ10	9	1
genQ11	10	1
genQ12	11	1
genQ13	12	1
genQ14	13	1
genQ15	14	1
genQ16	15	1
genQ17	16	1
genQ18	17	1
genQ19	18	1
genQ20	19	1
genQ21	20	1
genQ22	21	1
genQ23	22	1
genQ24	23	1
genQ25	24	1
genQ26	25	1
genQ27	26	1
genQ28	27	1
genQ29	28	1
genQ30	29	1
genQ31	30	1
genQ32	31	1
genQ33	32	1
genQ34	33	1
genQ35	34	1
genQ36	35	1
genQ37	36	1
genQ38	37	1
genQ39	38	1
genQ40	39	1
genQ41	40	1
genQ42	41	1
genQ43	42	1
genQ44	43	1
genQ45	44	1
genQ46	45	1
genQ47	46	1
genQ48	47	1
genQ49	48	1
genQ50	49	1
