query-id	corpus-id	score
genQ0	4368-0	1
genQ1	4413-3	1
genQ2	4420-1	1
genQ3	4423-1	1
genQ4	4479-0	1
genQ5	4615-1	1
genQ6	4627-1	1
genQ7	4649-0	1
genQ8	4650-1	1
genQ9	4651-0	1
genQ10	4654-0	1
genQ11	4673-1	1
genQ12	4679-0	1
genQ13	4693-0	1
genQ14	4763-0	1
genQ15	7315-1	1
genQ16	7407-1	1
genQ17	13942-0	1
genQ18	1331-0	1
genQ19	1402-0	1
genQ20	1410-0	1
genQ21	1412-0	1
genQ22	1448-0	1
genQ23	1468-0	1
genQ24	1494-0	1
genQ25	1578-0	1
genQ26	1579-1	1
genQ27	1582-0	1
genQ28	1614-0	1
genQ29	1616-0	1
genQ30	1629-0	1
genQ31	1647-0	1
genQ32	1667-1	1
genQ33	1921-3	1
genQ34	2211-0	1
genQ35	2215-0	1
genQ36	2217-0	1
genQ37	2221-0	1
genQ38	2224-0	1
genQ39	2238-1	1
genQ40	2243-0	1
genQ41	2326-0	1
genQ42	2575-0	1
genQ43	2668-0	1
genQ44	2919-1	1
genQ45	4132-1	1
genQ46	4178-0	1
genQ47	40921-0	1
genQ48	32-0	1
genQ49	46-0	1
genQ50	48-1	1
genQ51	50-0	1
genQ52	53-0	1
genQ53	119-0	1
genQ54	186-0	1
genQ55	205-0	1
genQ56	222-0	1
genQ57	226-2	1
genQ58	232-0	1
genQ59	234-0	1
genQ60	243-0	1
genQ61	245-0	1
genQ62	251-0	1
genQ63	257-0	1
genQ64	259-0	1
genQ65	264-0	1
genQ66	270-0	1
genQ67	272-0	1
genQ68	284-2	1
genQ69	288-0	1
genQ70	325-0	1
genQ71	406-1	1
genQ72	443-2	1
genQ73	503-0	1
genQ74	512-0	1
genQ75	537-1	1
genQ76	585-1	1
genQ77	636-0	1
genQ78	638-0	1
genQ79	639-1	1
genQ80	640-0	1
genQ81	685-0	1
genQ82	715-1	1
genQ83	716-1	1
genQ84	718-0	1
genQ85	724-0	1
genQ86	728-0	1
genQ87	736-0	1
genQ88	818-0	1
genQ89	897-0	1
genQ90	899-0	1
genQ91	900-1	1
genQ92	902-1	1
genQ93	925-0	1
genQ94	982-2	1
genQ95	991-1	1
genQ96	992-0	1
genQ97	1163-0	1
genQ98	1225-2	1
genQ99	1246-1	1
genQ100	1325-0	1
