query-id	corpus-id	score
genQ0	18081-0	1
genQ1	18081-1	1
genQ2	18081-2	1
genQ3	18081-3	1
genQ4	18081-4	1
genQ5	18085-0	1
genQ6	18085-1	1
genQ7	18085-2	1
genQ8	18085-3	1
genQ9	18105-0	1
genQ10	18106-0	1
genQ11	18120-0	1
genQ12	18121-0	1
genQ13	18124-0	1
genQ14	18126-0	1
genQ15	18130-0	1
genQ16	18134-0	1
genQ17	18140-0	1
genQ18	18140-1	1
genQ19	18140-2	1
genQ20	18140-3	1
genQ21	18140-4	1
genQ22	18140-5	1
genQ23	18141-0	1
genQ24	18141-1	1
genQ25	18141-2	1
genQ26	18141-3	1
genQ27	18142-0	1
genQ28	18142-1	1
genQ29	18142-2	1
genQ30	18142-3	1
genQ31	18142-4	1
genQ32	18142-5	1
genQ33	18142-6	1
genQ34	18142-7	1
genQ35	18142-8	1
genQ36	18142-9	1
genQ37	18145-0	1
genQ38	18148-0	1
genQ39	18148-1	1
genQ40	18148-2	1
genQ41	18148-3	1
genQ42	18149-0	1
genQ43	18151-0	1
genQ44	18152-0	1
genQ45	18153-0	1
genQ46	18153-1	1
genQ47	18153-2	1
genQ48	18153-3	1
genQ49	18153-4	1
genQ50	18153-5	1
genQ51	18153-6	1
genQ52	18154-0	1
genQ53	18156-0	1
genQ54	18156-1	1
genQ55	18159-0	1
genQ56	18159-1	1
genQ57	18159-2	1
genQ58	18160-0	1
genQ59	18161-0	1
genQ60	18162-0	1
genQ61	18163-0	1
genQ62	18163-1	1
genQ63	18180-0	1
genQ64	18180-1	1
genQ65	18180-2	1
genQ66	18180-3	1
genQ67	18180-4	1
genQ68	18180-5	1
genQ69	18180-6	1
genQ70	18180-7	1
genQ71	18180-8	1
genQ72	18180-9	1
genQ73	18180-10	1
genQ74	18180-11	1
genQ75	18180-12	1
genQ76	18180-13	1
genQ77	18180-14	1
genQ78	18180-15	1
genQ79	18180-16	1
genQ80	18180-17	1
genQ81	18180-18	1
genQ82	18180-19	1
genQ83	18180-20	1
genQ84	18180-21	1
genQ85	18180-22	1
genQ86	18180-23	1
genQ87	18180-24	1
genQ88	18180-25	1
genQ89	18180-26	1
genQ90	18180-27	1
genQ91	18180-28	1
genQ92	18183-0	1
genQ93	18184-0	1
genQ94	18184-1	1
genQ95	18185-0	1
genQ96	18185-1	1
genQ97	18196-0	1
genQ98	18219-0	1
genQ99	18221-0	1
genQ100	18221-1	1
genQ101	18221-2	1
genQ102	18227-0	1
genQ103	18228-0	1
genQ104	18230-0	1
genQ105	18230-1	1
genQ106	18239-0	1
genQ107	18248-0	1
genQ108	18299-0	1
genQ109	18299-1	1
genQ110	18299-2	1
genQ111	18299-3	1
genQ112	18299-4	1
genQ113	18300-0	1
genQ114	18304-0	1
genQ115	18320-0	1
genQ116	18329-0	1
genQ117	18330-0	1
genQ118	18330-1	1
genQ119	18331-0	1
genQ120	18331-1	1
genQ121	18331-2	1
genQ122	18333-0	1
genQ123	18333-1	1
genQ124	18335-0	1
genQ125	18335-1	1
genQ126	18335-2	1
genQ127	18337-0	1
genQ128	18349-0	1
genQ129	18349-1	1
genQ130	18349-2	1
genQ131	18349-3	1
genQ132	18349-4	1
genQ133	18349-5	1
genQ134	18349-6	1
genQ135	18349-7	1
genQ136	18349-8	1
genQ137	18349-9	1
genQ138	18349-10	1
genQ139	18349-11	1
genQ140	18349-12	1
genQ141	18349-13	1
genQ142	18349-14	1
genQ143	18349-15	1
genQ144	18349-16	1
genQ145	18349-17	1
genQ146	18349-18	1
genQ147	18349-19	1
genQ148	18365-0	1
genQ149	18366-0	1
genQ150	18366-1	1
genQ151	18368-0	1
genQ152	18370-0	1
genQ153	18372-0	1
genQ154	18384-0	1
genQ155	18384-1	1
genQ156	18384-2	1
genQ157	18384-3	1
genQ158	18388-0	1
genQ159	18388-1	1
genQ160	18391-0	1
genQ161	18393-0	1
genQ162	18393-1	1
genQ163	18398-0	1
genQ164	18401-0	1
genQ165	18401-1	1
genQ166	18401-2	1
genQ167	18421-0	1
genQ168	18421-1	1
genQ169	18421-2	1
genQ170	18421-3	1
genQ171	18421-4	1
genQ172	18421-5	1
genQ173	18421-6	1
genQ174	18421-7	1
genQ175	18422-0	1
genQ176	18422-1	1
genQ177	18424-0	1
genQ178	18424-1	1
genQ179	18424-2	1
genQ180	18424-3	1
genQ181	18424-4	1
genQ182	18426-0	1
genQ183	18426-1	1
genQ184	18426-2	1
genQ185	18426-3	1
genQ186	18426-4	1
genQ187	18426-5	1
genQ188	18426-6	1
genQ189	18426-7	1
genQ190	18426-8	1
genQ191	18449-0	1
genQ192	18453-0	1
genQ193	18454-0	1
genQ194	18455-0	1
genQ195	18455-1	1
genQ196	18456-0	1
genQ197	18456-1	1
genQ198	18456-2	1
genQ199	18456-3	1
genQ200	18456-4	1
genQ201	18456-5	1
genQ202	18460-0	1
genQ203	18460-1	1
genQ204	18468-0	1
genQ205	18468-1	1
genQ206	18472-0	1
genQ207	18472-1	1
genQ208	18492-0	1
genQ209	18492-1	1
genQ210	18492-2	1
genQ211	18492-3	1
genQ212	18492-4	1
genQ213	18493-0	1
genQ214	18493-1	1
genQ215	18495-0	1
genQ216	18496-0	1
genQ217	18496-1	1
genQ218	18498-0	1
genQ219	18498-1	1
genQ220	18498-2	1
genQ221	18499-0	1
genQ222	18500-0	1
genQ223	18500-1	1
genQ224	18503-0	1
genQ225	18505-0	1
genQ226	18505-1	1
genQ227	18505-2	1
genQ228	18505-3	1
genQ229	18505-4	1
genQ230	18505-5	1
genQ231	18505-6	1
genQ232	18505-7	1
genQ233	18505-8	1
genQ234	18520-0	1
genQ235	18521-0	1
genQ236	18522-0	1
genQ237	18524-0	1
genQ238	18524-1	1
genQ239	18526-0	1
genQ240	18526-1	1
genQ241	18526-2	1
genQ242	18526-3	1
genQ243	18526-4	1
genQ244	18535-0	1
genQ245	18536-0	1
genQ246	18538-0	1
genQ247	18538-1	1
genQ248	18539-0	1
genQ249	18539-1	1
genQ250	18546-0	1
genQ251	18546-1	1
genQ252	18547-0	1
genQ253	18548-0	1
genQ254	18549-0	1
genQ255	18550-0	1
genQ256	18550-1	1
genQ257	18551-0	1
genQ258	18556-0	1
genQ259	18557-0	1
genQ260	18557-1	1
genQ261	18559-0	1
genQ262	18559-1	1
genQ263	18568-0	1
genQ264	18612-0	1
genQ265	18614-0	1
genQ266	18614-1	1
genQ267	18614-2	1
genQ268	18617-0	1
genQ269	18619-0	1
genQ270	18619-1	1
genQ271	18619-2	1
genQ272	18620-0	1
genQ273	18620-1	1
genQ274	18620-2	1
genQ275	18620-3	1
genQ276	18625-0	1
genQ277	18625-1	1
genQ278	18625-2	1
genQ279	18625-3	1
genQ280	18625-4	1
genQ281	18625-5	1
genQ282	18626-0	1
genQ283	18626-1	1
genQ284	18626-2	1
genQ285	18631-0	1
genQ286	18632-0	1
genQ287	18632-1	1
genQ288	18633-0	1
genQ289	18634-0	1
genQ290	18634-1	1
genQ291	18641-0	1
genQ292	18641-1	1
genQ293	18641-2	1
genQ294	18641-3	1
genQ295	18641-4	1
genQ296	18641-5	1
genQ297	18641-6	1
genQ298	18641-7	1
genQ299	18641-8	1
genQ300	18641-9	1
genQ301	18641-10	1
genQ302	18641-11	1
genQ303	18641-12	1
genQ304	18641-13	1
genQ305	18645-0	1
genQ306	18645-1	1
genQ307	18645-2	1
genQ308	18645-3	1
genQ309	18645-4	1
genQ310	18645-5	1
genQ311	18648-0	1
genQ312	18649-0	1
genQ313	18649-1	1
genQ314	18649-2	1
genQ315	18649-3	1
genQ316	18649-4	1
genQ317	18650-0	1
genQ318	18651-0	1
genQ319	18651-1	1
genQ320	18651-2	1
genQ321	18656-0	1
genQ322	18656-1	1
genQ323	18656-2	1
genQ324	18664-0	1
genQ325	18664-1	1
genQ326	18664-2	1
genQ327	18664-3	1
genQ328	18664-4	1
genQ329	18664-5	1
genQ330	18664-6	1
genQ331	18664-7	1
genQ332	18672-0	1
genQ333	18674-0	1
genQ334	18674-1	1
genQ335	18674-2	1
genQ336	18676-0	1
genQ337	18676-1	1
genQ338	18678-0	1
genQ339	18681-0	1
genQ340	18681-1	1
genQ341	18681-2	1
genQ342	18681-3	1
genQ343	18693-0	1
genQ344	18693-1	1
genQ345	18693-2	1
genQ346	18693-3	1
genQ347	18693-4	1
genQ348	18693-5	1
genQ349	18693-6	1
genQ350	18693-7	1
genQ351	18693-8	1
genQ352	18693-9	1
genQ353	18693-10	1
genQ354	18693-11	1
genQ355	18693-12	1
genQ356	18693-13	1
genQ357	18702-0	1
genQ358	18702-1	1
genQ359	18702-2	1
genQ360	18702-3	1
genQ361	18702-4	1
genQ362	18702-5	1
genQ363	18702-6	1
genQ364	18702-7	1
genQ365	18702-8	1
genQ366	18702-9	1
genQ367	18702-10	1
genQ368	18702-11	1
genQ369	18702-12	1
genQ370	18702-13	1
genQ371	18702-14	1
genQ372	18702-15	1
genQ373	18702-16	1
genQ374	18702-17	1
genQ375	18702-18	1
genQ376	18702-19	1
genQ377	18702-20	1
genQ378	18702-21	1
genQ379	18702-22	1
genQ380	18702-23	1
genQ381	18702-24	1
genQ382	18702-25	1
genQ383	18702-26	1
genQ384	18702-27	1
genQ385	18702-28	1
genQ386	18702-29	1
genQ387	18702-30	1
genQ388	18702-31	1
genQ389	18705-0	1
genQ390	18707-0	1
genQ391	18709-0	1
genQ392	18713-0	1
genQ393	18713-1	1
genQ394	18733-0	1
genQ395	18733-1	1
genQ396	18734-0	1
genQ397	18734-1	1
genQ398	18734-2	1
genQ399	18737-0	1
genQ400	18738-0	1
genQ401	18739-0	1
genQ402	18741-0	1
genQ403	18741-1	1
genQ404	18741-2	1
genQ405	18741-3	1
genQ406	18741-4	1
genQ407	18741-5	1
genQ408	18744-0	1
genQ409	18745-0	1
genQ410	18749-0	1
genQ411	18765-0	1
genQ412	18769-0	1
genQ413	18769-1	1
genQ414	18774-0	1
genQ415	18774-1	1
genQ416	18777-0	1
genQ417	18782-0	1
genQ418	18783-0	1
genQ419	18784-0	1
genQ420	18785-0	1
genQ421	18786-0	1
genQ422	18788-0	1
genQ423	18789-0	1
genQ424	18790-0	1
genQ425	18812-0	1
genQ426	18819-0	1
genQ427	18819-1	1
genQ428	18828-0	1
genQ429	18831-0	1
genQ430	18831-1	1
genQ431	18831-2	1
genQ432	18835-0	1
genQ433	18835-1	1
genQ434	18838-0	1
genQ435	18938-0	1
genQ436	18938-1	1
genQ437	18938-2	1
genQ438	18966-0	1
genQ439	19016-0	1
genQ440	19016-1	1
genQ441	19019-0	1
genQ442	19019-1	1
genQ443	19019-2	1
genQ444	19019-3	1
genQ445	19019-4	1
genQ446	19019-5	1
genQ447	19019-6	1
genQ448	19019-7	1
genQ449	19019-8	1
genQ450	19019-9	1
genQ451	19019-10	1
genQ452	19019-11	1
genQ453	19019-12	1
genQ454	19023-0	1
genQ455	19031-0	1
genQ456	19031-1	1
genQ457	19031-2	1
genQ458	19031-3	1
genQ459	19042-0	1
genQ460	19042-1	1
genQ461	19042-2	1
genQ462	19042-3	1
